City,window,AvgTempC
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 13), end=datetime.datetime(2022, 9, 11, 19, 15, 25))",11.75
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 12), end=datetime.datetime(2022, 9, 11, 19, 15, 24))",12.17
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 11), end=datetime.datetime(2022, 9, 11, 19, 15, 23))",12.49
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 10), end=datetime.datetime(2022, 9, 11, 19, 15, 22))",12.62
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 9), end=datetime.datetime(2022, 9, 11, 19, 15, 21))",12.77
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 8), end=datetime.datetime(2022, 9, 11, 19, 15, 20))",12.96
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 7), end=datetime.datetime(2022, 9, 11, 19, 15, 19))",13.19
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 6), end=datetime.datetime(2022, 9, 11, 19, 15, 18))",13.33
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 5), end=datetime.datetime(2022, 9, 11, 19, 15, 17))",13.52
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 4), end=datetime.datetime(2022, 9, 11, 19, 15, 16))",14.0
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 3), end=datetime.datetime(2022, 9, 11, 19, 15, 15))",14.73
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 2), end=datetime.datetime(2022, 9, 11, 19, 15, 14))",15.37
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 1), end=datetime.datetime(2022, 9, 11, 19, 15, 13))",15.55
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15), end=datetime.datetime(2022, 9, 11, 19, 15, 12))",15.0
