City,WeatherText,window,Count
Perth,light rain,"Row(start=datetime.datetime(2022, 9, 11, 14, 36, 7), end=datetime.datetime(2022, 9, 11, 14, 36, 19))",2
Perth,rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 36, 7), end=datetime.datetime(2022, 9, 11, 14, 36, 19))",2
Perth,light rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 36, 6), end=datetime.datetime(2022, 9, 11, 14, 36, 18))",3
Perth,light rain,"Row(start=datetime.datetime(2022, 9, 11, 14, 36, 6), end=datetime.datetime(2022, 9, 11, 14, 36, 18))",2
Perth,rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 36, 6), end=datetime.datetime(2022, 9, 11, 14, 36, 18))",2
Perth,rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 36, 5), end=datetime.datetime(2022, 9, 11, 14, 36, 17))",3
Perth,cloudy,"Row(start=datetime.datetime(2022, 9, 11, 14, 36, 5), end=datetime.datetime(2022, 9, 11, 14, 36, 17))",2
Perth,light rain,"Row(start=datetime.datetime(2022, 9, 11, 14, 36, 5), end=datetime.datetime(2022, 9, 11, 14, 36, 17))",2
Perth,cloudy,"Row(start=datetime.datetime(2022, 9, 11, 14, 36, 4), end=datetime.datetime(2022, 9, 11, 14, 36, 16))",3
Perth,rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 36, 4), end=datetime.datetime(2022, 9, 11, 14, 36, 16))",3
Perth,light rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 36, 4), end=datetime.datetime(2022, 9, 11, 14, 36, 16))",2
Perth,rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 36, 3), end=datetime.datetime(2022, 9, 11, 14, 36, 15))",4
Perth,light rain,"Row(start=datetime.datetime(2022, 9, 11, 14, 36, 3), end=datetime.datetime(2022, 9, 11, 14, 36, 15))",2
Perth,cloudy,"Row(start=datetime.datetime(2022, 9, 11, 14, 36, 3), end=datetime.datetime(2022, 9, 11, 14, 36, 15))",2
Perth,rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 36, 2), end=datetime.datetime(2022, 9, 11, 14, 36, 14))",4
Perth,cloudy,"Row(start=datetime.datetime(2022, 9, 11, 14, 36, 2), end=datetime.datetime(2022, 9, 11, 14, 36, 14))",3
Perth,light rain,"Row(start=datetime.datetime(2022, 9, 11, 14, 36, 2), end=datetime.datetime(2022, 9, 11, 14, 36, 14))",2
Perth,rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 36, 1), end=datetime.datetime(2022, 9, 11, 14, 36, 13))",4
Perth,cloudy,"Row(start=datetime.datetime(2022, 9, 11, 14, 36, 1), end=datetime.datetime(2022, 9, 11, 14, 36, 13))",3
Perth,light rain,"Row(start=datetime.datetime(2022, 9, 11, 14, 36, 1), end=datetime.datetime(2022, 9, 11, 14, 36, 13))",2
Perth,cloudy,"Row(start=datetime.datetime(2022, 9, 11, 14, 36), end=datetime.datetime(2022, 9, 11, 14, 36, 12))",3
Perth,rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 36), end=datetime.datetime(2022, 9, 11, 14, 36, 12))",3
Perth,light rain,"Row(start=datetime.datetime(2022, 9, 11, 14, 36), end=datetime.datetime(2022, 9, 11, 14, 36, 12))",2
Perth,cloudy,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 59), end=datetime.datetime(2022, 9, 11, 14, 36, 11))",3
Perth,rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 59), end=datetime.datetime(2022, 9, 11, 14, 36, 11))",3
Perth,light rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 59), end=datetime.datetime(2022, 9, 11, 14, 36, 11))",2
Perth,rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 58), end=datetime.datetime(2022, 9, 11, 14, 36, 10))",3
Perth,cloudy,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 58), end=datetime.datetime(2022, 9, 11, 14, 36, 10))",3
Perth,light rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 58), end=datetime.datetime(2022, 9, 11, 14, 36, 10))",2
Perth,cloudy,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 57), end=datetime.datetime(2022, 9, 11, 14, 36, 9))",4
Perth,rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 57), end=datetime.datetime(2022, 9, 11, 14, 36, 9))",3
Perth,light rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 57), end=datetime.datetime(2022, 9, 11, 14, 36, 9))",2
Perth,cloudy,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 56), end=datetime.datetime(2022, 9, 11, 14, 36, 8))",4
Perth,rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 56), end=datetime.datetime(2022, 9, 11, 14, 36, 8))",2
Perth,light rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 56), end=datetime.datetime(2022, 9, 11, 14, 36, 8))",2
Perth,cloudy,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 55), end=datetime.datetime(2022, 9, 11, 14, 36, 7))",4
Perth,light rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 55), end=datetime.datetime(2022, 9, 11, 14, 36, 7))",2
Perth,rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 55), end=datetime.datetime(2022, 9, 11, 14, 36, 7))",2
Perth,cloudy,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 54), end=datetime.datetime(2022, 9, 11, 14, 36, 6))",3
Perth,light rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 54), end=datetime.datetime(2022, 9, 11, 14, 36, 6))",3
Perth,rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 54), end=datetime.datetime(2022, 9, 11, 14, 36, 6))",2
Perth,cloudy,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 53), end=datetime.datetime(2022, 9, 11, 14, 36, 5))",3
Perth,light rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 53), end=datetime.datetime(2022, 9, 11, 14, 36, 5))",3
Perth,partly sunny,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 53), end=datetime.datetime(2022, 9, 11, 14, 36, 5))",2
Perth,cloudy,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 52), end=datetime.datetime(2022, 9, 11, 14, 36, 4))",3
Perth,light rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 52), end=datetime.datetime(2022, 9, 11, 14, 36, 4))",3
Perth,partly sunny,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 52), end=datetime.datetime(2022, 9, 11, 14, 36, 4))",2
Perth,light rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 51), end=datetime.datetime(2022, 9, 11, 14, 36, 3))",4
Perth,cloudy,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 51), end=datetime.datetime(2022, 9, 11, 14, 36, 3))",3
Perth,partly sunny,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 51), end=datetime.datetime(2022, 9, 11, 14, 36, 3))",2
Perth,light rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 50), end=datetime.datetime(2022, 9, 11, 14, 36, 2))",5
Perth,cloudy,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 50), end=datetime.datetime(2022, 9, 11, 14, 36, 2))",2
Perth,partly sunny,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 50), end=datetime.datetime(2022, 9, 11, 14, 36, 2))",2
Perth,light rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 49), end=datetime.datetime(2022, 9, 11, 14, 36, 1))",5
Perth,cloudy,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 49), end=datetime.datetime(2022, 9, 11, 14, 36, 1))",2
Perth,partly sunny,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 49), end=datetime.datetime(2022, 9, 11, 14, 36, 1))",2
Perth,light rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 48), end=datetime.datetime(2022, 9, 11, 14, 36))",4
Perth,partly sunny,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 48), end=datetime.datetime(2022, 9, 11, 14, 36))",2
Perth,cloudy,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 48), end=datetime.datetime(2022, 9, 11, 14, 36))",2
Perth,light rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 47), end=datetime.datetime(2022, 9, 11, 14, 35, 59))",3
Perth,partly sunny,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 47), end=datetime.datetime(2022, 9, 11, 14, 35, 59))",2
Perth,light rain,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 47), end=datetime.datetime(2022, 9, 11, 14, 35, 59))",2
Perth,light rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 46), end=datetime.datetime(2022, 9, 11, 14, 35, 58))",3
Perth,cloudy,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 46), end=datetime.datetime(2022, 9, 11, 14, 35, 58))",2
Perth,light rain,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 46), end=datetime.datetime(2022, 9, 11, 14, 35, 58))",2
Perth,light rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 45), end=datetime.datetime(2022, 9, 11, 14, 35, 57))",3
Perth,rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 45), end=datetime.datetime(2022, 9, 11, 14, 35, 57))",2
Perth,light rain,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 45), end=datetime.datetime(2022, 9, 11, 14, 35, 57))",2
Perth,light rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 44), end=datetime.datetime(2022, 9, 11, 14, 35, 56))",3
Perth,light rain,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 44), end=datetime.datetime(2022, 9, 11, 14, 35, 56))",2
Perth,rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 44), end=datetime.datetime(2022, 9, 11, 14, 35, 56))",2
Perth,light rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 43), end=datetime.datetime(2022, 9, 11, 14, 35, 55))",3
Perth,rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 43), end=datetime.datetime(2022, 9, 11, 14, 35, 55))",2
Perth,light rain,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 43), end=datetime.datetime(2022, 9, 11, 14, 35, 55))",2
Perth,light rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 42), end=datetime.datetime(2022, 9, 11, 14, 35, 54))",2
Perth,light rain,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 42), end=datetime.datetime(2022, 9, 11, 14, 35, 54))",2
Perth,rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 42), end=datetime.datetime(2022, 9, 11, 14, 35, 54))",2
Perth,light rain,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 41), end=datetime.datetime(2022, 9, 11, 14, 35, 53))",2
Perth,rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 41), end=datetime.datetime(2022, 9, 11, 14, 35, 53))",2
Perth,light rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 41), end=datetime.datetime(2022, 9, 11, 14, 35, 53))",2
Perth,light rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 40), end=datetime.datetime(2022, 9, 11, 14, 35, 52))",2
Perth,light rain,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 40), end=datetime.datetime(2022, 9, 11, 14, 35, 52))",2
Perth,rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 40), end=datetime.datetime(2022, 9, 11, 14, 35, 52))",2
Perth,rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 39), end=datetime.datetime(2022, 9, 11, 14, 35, 51))",2
Perth,light rain,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 39), end=datetime.datetime(2022, 9, 11, 14, 35, 51))",2
Perth,rain,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 39), end=datetime.datetime(2022, 9, 11, 14, 35, 51))",1
Perth,light rain,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 38), end=datetime.datetime(2022, 9, 11, 14, 35, 50))",2
Perth,rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 38), end=datetime.datetime(2022, 9, 11, 14, 35, 50))",2
Perth,rain,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 38), end=datetime.datetime(2022, 9, 11, 14, 35, 50))",1
Perth,light rain,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 37), end=datetime.datetime(2022, 9, 11, 14, 35, 49))",2
Perth,rain,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 37), end=datetime.datetime(2022, 9, 11, 14, 35, 49))",1
Perth,rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 37), end=datetime.datetime(2022, 9, 11, 14, 35, 49))",1
Perth,light rain,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 36), end=datetime.datetime(2022, 9, 11, 14, 35, 48))",1
Perth,rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 36), end=datetime.datetime(2022, 9, 11, 14, 35, 48))",1
Perth,rain,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 36), end=datetime.datetime(2022, 9, 11, 14, 35, 48))",1
Perth,rain,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 35), end=datetime.datetime(2022, 9, 11, 14, 35, 47))",1
Perth,rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 35), end=datetime.datetime(2022, 9, 11, 14, 35, 47))",1
Perth,rain shower,"Row(start=datetime.datetime(2022, 9, 11, 14, 35, 34), end=datetime.datetime(2022, 9, 11, 14, 35, 46))",1
